Material,UndDoItem,QtdePedida,QtdePedUnd,QtdeAtendida,QtdeAtendUnd,DtCriacao,DtEntrada,Custo,data_extracao,codigo_loja
3122490,"29,00","166,00","20,00","157,00","20,00",20220910,20111027,"23,85",20220920,60
3136675,"29,00","70,00","14,00","61,00","14,00",20220906,20220912,"24,61",20221001,111
3140750,"37,00","46,00","12,00","37,00","12,00",20220914,20220919,"22,2",20220927,74
3129489,"30,00","39,00","12,00","30,00","12,00",20220911,20220916,"26,37",20220927,32
3128875,"25,00","46,00","13,00","37,00","13,00",20220911,20220921,"28,42",20221001,81
3122490,"29,00","54,00","13,00","45,00","13,00",20220818,20220823,"25,04",20220918,66
3109948,"30,00","379,00","32,00","370,00","32,00",20220928,00000000,"25,46",20221001,44
3124509,"43,00","52,00","12,00","43,00","12,00",20220926,20220929,"22,6",20221001,16
2851568,"25,00","34,00","12,00","25,00","12,00",20220902,20220906,"32,26",20220918,49
3104119,"17,00","26,00","12,00","17,00","12,00",20220907,20220918,"105,65",20220924,112
3145584,"14,00","30,00","19,00","21,00","19,00",20220927,20221004,"207,74",20221009,82
3103331,"19,00","28,00","12,00","19,00","12,00",20220822,20220901,"30,86",20220925,4
3140600,"37,00","70,00","13,00","61,00","13,00",20220916,20220921,"22,21",20220925,83
3134935,"27,00","36,00","12,00","27,00","12,00",20220924,20220930,"23,34",20221001,105
1032289,"19,00","28,00","12,00","19,00","12,00",20220914,20220917,"27,15",20221001,39
3145035,"30,00","73,00","14,00","64,00","14,00",20220813,20220818,"24,34",20220914,59
3144862,"25,00","34,00","12,00","25,00","12,00",20220810,20220829,"24,58",20220914,102
2950511,"25,00","34,00","12,00","25,00","12,00",20220813,20220822,"24,58",20220914,90
3150865,"29,00","118,00","17,00","109,00","17,00",20220913,20220922,"24,61",20221001,36
3146062,"43,00","112,00","14,00","103,00","14,00",20220924,20220930,"24,41",20221004,24
3124362,"30,00","158,00","19,00","47,00","13,00",20220914,20220915,"25,42",20220925,16
3109948,"30,00","124,00","17,00","115,00","17,00",20220910,20111027,"24,39",20220925,60
3145851,"14,00","26,00","15,00","17,00","15,00",20220913,20220924,"130,38",20220925,17
3134914,"14,00","32,00","21,00","23,00","21,00",20220820,20220827,"137,91",20220920,23
3141021,"14,00","44,00","33,00","35,00","33,00",20220912,20220922,"100,69",20221001,111
2950511,"25,00","34,00","12,00","25,00","12,00",20220903,20220921,"24,61",20220927,95
3128885,"25,00","34,00","12,00","25,00","12,00",20220828,20220901,"28,34",20220918,19
3135879,"31,00","58,00","13,00","49,00","13,00",20220912,00000000,"23,1",20220918,29
3109678,"19,00","28,00","12,00","19,00","12,00",20220907,00000000,"40,56",20220918,115
3139148,"31,00","148,00","18,00","139,00","18,00",20220919,20220930,"23,37",20221001,29
3136597,"14,00","34,00","23,00","15,00","13,00",20220909,20220915,"37,54",20220925,11
3125449,"19,00","28,00","12,00","19,00","12,00",20220823,20220830,"49,36",20220918,41
3126441,"14,00","24,00","13,00","15,00","13,00",20220913,20220921,"121,51",20220924,81
2851568,"25,00","106,00","18,00","97,00","18,00",20220915,20220920,"32,269999999999996",20220924,12
3134935,"27,00","232,00","26,00","55,00","14,00",20220916,20220921,"23,45",20220927,95
3113814,"19,00","28,00","12,00","19,00","12,00",20220915,20220922,"25,89",20220927,6
3124984,"19,00","28,00","12,00","19,00","12,00",20221003,20221006,"32,69",20221009,106
3133258,"25,00","34,00","12,00","25,00","12,00",20220830,20220910,"24,63",20220918,84
3133492,"29,00","38,00","12,00","29,00","12,00",20220903,20220909,"24,6",20221001,58
3151185,"19,00","28,00","12,00","19,00","12,00",20220922,20220927,"48,25",20221001,70
3102562,"19,00","28,00","12,00","19,00","12,00",20220919,20220927,"55,0",20221001,20
3122490,"29,00","86,00","15,00","77,00","15,00",20220830,20220913,"23,85",20220925,4
3141346,"14,00","24,00","13,00","15,00","13,00",20220917,00000000,"111,60000000000001",20220925,29
3144717,"19,00","28,00","12,00","19,00","12,00",20220907,00000000,"34,07",20220914,96
3150865,"29,00","566,00","45,00","557,00","45,00",20220920,20220924,"25,19",20221001,71
3134967,"14,00","23,00","12,00","14,00","12,00",20220904,20220908,"83,1",20220925,6
3101896,"14,00","26,00","15,00","17,00","15,00",20220910,20220919,"71,34",20220925,60
3130998,"14,00","24,00","13,00","15,00","13,00",20220817,20220822,"140,79999999999998",20220920,16
3113198,"43,00","52,00","12,00","43,00","12,00",20220914,00000000,"31,33",20220920,69
3129894,"43,00","52,00","12,00","43,00","12,00",20220913,00000000,"28,03",20220920,55
3134935,"27,00","36,00","12,00","27,00","12,00",20220914,00000000,"23,34",20220920,108
1034193,"19,00","28,00","12,00","19,00","12,00",20220908,20220914,"25,92",20220927,103
3129894,"43,00","832,00","38,00","43,00","12,00",20220901,20220927,"28,65",20221001,20
3137157,"29,00","38,00","12,00","29,00","12,00",20220914,20220920,"22,63",20221001,53
1033848,"19,00","28,00","12,00","19,00","12,00",20220918,00000000,"26,81",20221001,112
3102367,"31,00","40,00","12,00","31,00","12,00",20220830,20220907,"23,04",20220918,77
3122536,"29,00","38,00","12,00","29,00","12,00",20220830,20220908,"24,56",20220918,3
1034231,"19,00","28,00","12,00","19,00","12,00",20220909,20220915,"27,15",20221001,89
3137301,"25,00","46,00","13,00","37,00","13,00",20220915,20220921,"22,49",20221001,83
3124362,"30,00","39,00","12,00","30,00","12,00",20220914,20220919,"25,46",20220925,47
3072654,"17,00","26,00","12,00","17,00","12,00",20220828,20220902,"43,1",20220925,81
3109948,"30,00","124,00","17,00","115,00","17,00",20220820,20220829,"25,38",20220918,31
3113732,"37,00","358,00","25,00","349,00","25,00",20220907,20220914,"23,48",20220918,82
3140750,"37,00","46,00","12,00","37,00","12,00",20220914,00000000,"22,08",20220924,50
2851568,"25,00","94,00","17,00","85,00","17,00",20220915,20220919,"32,26",20220924,9
3150083,"19,00","28,00","12,00","19,00","12,00",20220916,20220919,"39,05",20220924,39
3137033,"29,00","38,00","12,00","29,00","12,00",20220914,20220922,"22,91",20220927,76
3137654,"14,00","23,00","12,00","14,00","12,00",20220911,20220920,"139,21",20220925,35
3146889,"14,00","23,00","12,00","14,00","12,00",20220902,20220907,"153,15",20220925,7
3145696,"25,00","34,00","12,00","25,00","12,00",20220903,20220912,"23,78",20220925,30
3124362,"30,00","73,00","14,00","64,00","14,00",20220914,00000000,"25,46",20220918,69
3134935,"27,00","50,00","13,00","41,00","13,00",20220918,00000000,"23,94",20220925,35
3128123,"18,00","27,00","12,00","18,00","12,00",20220907,20220916,"47,769999999999996",20220925,22
3126127,"25,00","58,00","14,00","49,00","14,00",20220920,20220924,"29,41",20220925,9
2851568,"25,00","46,00","13,00","37,00","13,00",20220926,20220928,"32,269999999999996",20221004,9
3130733,"19,00","28,00","12,00","19,00","12,00",20220901,20220910,"31,96",20221004,47
3109861,"30,00","90,00","15,00","81,00","15,00",20220917,20220923,"25,38",20220925,2
3130043,"37,00","142,00","16,00","133,00","16,00",20220920,00000000,"29,28",20220925,46
3000096,"43,00","172,00","16,00","163,00","16,00",20220810,20220819,"22,26",20220920,17
1033218,"19,00","28,00","12,00","19,00","12,00",20220823,20220826,"49,370000000000005",20220920,27
3131679,"14,00","23,00","12,00","14,00","12,00",20220901,20220906,"72,09",20221001,16
2948861,"14,00","24,00","13,00","15,00","13,00",20220906,20220921,"60,83",20220927,80
3125914,"28,00","37,00","12,00","28,00","12,00",20220903,20220912,"25,41",20220927,42
3152111,"25,00","142,00","21,00","133,00","21,00",20220921,20220926,"24,13",20220927,85
3145241,"25,00","58,00","14,00","49,00","14,00",20220919,20220923,"24,07",20220927,89
3134935,"27,00","50,00","13,00","41,00","13,00",20220914,20220915,"23,95",20221001,12
3116789,"14,00","23,00","12,00","14,00","12,00",20220903,20220909,"98,65",20221001,74
1034044,"14,00","23,00","12,00","14,00","12,00",20220828,20220903,"31,52",20220918,44
3109717,"19,00","28,00","12,00","19,00","12,00",20220828,20220830,"46,260000000000005",20220918,16
3139181,"14,00","23,00","12,00","14,00","12,00",20220820,20220825,"152,27",20220918,52
3136305,"19,00","58,00","17,00","49,00","17,00",20220906,20220912,"50,519999999999996",20220925,23
3122460,"29,00","118,00","17,00","109,00","17,00",20220827,20220906,"24,33",20220918,32
3129884,"43,00","202,00","17,00","193,00","17,00",20220902,20220909,"30,79",20220927,88
3150875,"29,00","70,00","14,00","61,00","14,00",20221001,20221007,"24,73",20221009,82
3109861,"30,00","124,00","17,00","115,00","17,00",20221004,00000000,"25,33",20221009,62
3146303,"19,00","28,00","12,00","19,00","12,00",20220820,20220901,"46,04",20220918,99
3125412,"37,00","46,00","12,00","37,00","12,00",20220908,20220920,"27,67",20220925,70
3113732,"37,00","1462,00","71,00","1453,00","71,00",20220926,00000000,"23,46",20221001,23
3137242,"17,00","26,00","12,00","17,00","12,00",20220905,20220910,"66,33",20221004,11
3145651,"29,00","38,00","12,00","29,00","12,00",20220927,00000000,"23,31",20221004,72
3129894,"43,00","322,00","21,00","313,00","21,00",20220902,20220906,"30,34",20220925,80
2917109,"15,00","24,00","12,00","15,00","12,00",20220906,20220915,"93,59",20220923,10
3135916,"25,00","34,00","12,00","25,00","12,00",20220830,00000000,"26,9",20220914,10
2989715,"14,00","23,00","12,00","14,00","12,00",20220830,20220906,"63,75",20220914,54
3136675,"29,00","102,00","16,00","93,00","16,00",20220905,20220910,"25,18",20221005,9
3128885,"25,00","34,00","12,00","25,00","12,00",20220928,20221001,"26,62",20221005,43
3113746,"109,00","982,00","21,00","973,00","21,00",20220907,20220923,"23,42",20221004,87
3138795,"28,00","37,00","12,00","28,00","12,00",20220912,20220917,"25,42",20221004,18
3001753,"14,00","23,00","12,00","14,00","12,00",20220928,00000000,"102,17",20221004,96
3100062,"25,00","70,00","15,00","61,00","15,00",20220908,20220915,"28,29",20220925,31
3103915,"14,00","23,00","12,00","14,00","12,00",20220919,20220923,"177,87",20220925,16
3150454,"19,00","28,00","12,00","19,00","12,00",20220827,20220912,"63,92",20220925,84
3113746,"109,00","3094,00","43,00","2893,00","41,00",20220902,20220907,"23,42",20220918,42
3109717,"19,00","34,00","13,00","25,00","13,00",20220902,20220913,"47,019999999999996",20220918,66
3131253,"37,00","46,00","12,00","37,00","12,00",20220902,20220912,"28,32",20220918,103
1033119,"17,00","26,00","12,00","17,00","12,00",20220913,00000000,"30,63",20220918,98
3137984,"14,00","31,00","20,00","22,00","20,00",20220927,00000000,"110,98",20221001,82
2851568,"25,00","58,00","14,00","49,00","14,00",20220909,20220915,"32,28",20221001,111
3102515,"19,00","28,00","12,00","19,00","12,00",20221003,00000000,"74,75",20221009,54
3113746,"109,00","6646,00","80,00","6349,00","77,00",20220901,20220912,"23,0",20221001,116
3146330,"19,00","28,00","12,00","19,00","12,00",20220914,20220926,"42,92",20221001,112
3116789,"14,00","24,00","13,00","15,00","13,00",20220813,20220819,"86,87",20220914,3
3087865,"19,00","58,00","17,00","19,00","12,00",20220917,00000000,"43,89",20220920,42
3128965,"14,00","23,00","12,00","14,00","12,00",20220903,20220908,"141,92",20220920,42
3135086,"25,00","34,00","12,00","25,00","12,00",20220826,20220901,"25,35",20220920,24
3107083,"17,00","26,00","12,00","17,00","12,00",20220705,20220708,"41,730000000000004",20220719,28
3122460,"29,00","166,00","20,00","157,00","20,00",20220913,20220921,"23,85",20221001,36
3152209,"73,00","82,00","12,00","73,00","12,00",20220917,20220927,"27,759999999999998",20221001,66
3129884,"43,00","412,00","24,00","403,00","24,00",20220907,20220914,"28,82",20221001,93
3139181,"14,00","23,00","12,00","14,00","12,00",20220914,20220919,"150,43",20221004,107
3108445,"21,00","86,00","19,00","21,00","12,00",20220922,00000000,"38,58",20221004,4
3137157,"29,00","38,00","12,00","29,00","12,00",20220916,20220924,"22,61",20221009,55
3128885,"25,00","34,00","12,00","25,00","12,00",20220825,20220903,"26,5",20220927,90
3128885,"25,00","34,00","12,00","25,00","12,00",20220917,00000000,"28,02",20220927,56
3111642,"14,00","24,00","13,00","15,00","13,00",20220921,00000000,"96,33",20220927,42
3137984,"14,00","25,00","14,00","16,00","14,00",20220908,20220912,"143,34",20220914,111
3113746,"109,00","2326,00","35,00","2317,00","35,00",20220902,20220909,"23,02",20220914,12
2897266,"25,00","34,00","12,00","25,00","12,00",20220820,20220827,"36,79",20220914,29
3100447,"25,00","34,00","12,00","25,00","12,00",20220921,20220926,"23,92",20221005,72
3129440,"30,00","39,00","12,00","30,00","12,00",20220902,20220908,"27,42",20221005,6
3147485,"19,00","28,00","12,00","19,00","12,00",20220914,20220919,"47,04",20221005,11
3146686,"14,00","24,00","13,00","15,00","13,00",20220922,20220929,"249,1",20221004,82
