DATA,CMV,ESTOQUE_VALOR,ESTOQUE_QTDE,VENDA_VALOR,VENDA_QTDE,MARGEM_FINAL,VENDA_LIQUIDA_FINAL,PRODUTO,LOJA
2022-09-11,"15,34","0,0","0,0","39,13","1,0","15,84","33,18",3102314,20
2022-09-11,"8,44","20,02","2,0","22,13","1,0","11,29","21,73",3137689,28
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,6
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,89
2022-09-11,"0,0","16,61","2,0","0,0","0,0","0,0","0,0",1027257,16
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,42
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,18
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,48
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,45
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,60
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,79
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,85
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,99
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3141816,54
2022-09-11,"0,0","16,6","2,0","0,0","0,0","0,0","0,0",1027257,18
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,25
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,84
2022-09-11,"48,82","51,940000000000005","1,0","102,13","1,0","26,51","77,33",3103789,21
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,40
2022-09-11,"68,27","71,39","1,0","112,13","1,0","33,14","103,41",2997660,1
2022-09-11,"69,68","72,8","1,0","112,13","1,0","31,73","103,41",2997660,40
2022-09-11,"48,64","51,77","1,0","112,13","1,0","32,97","83,61",2997660,36
2022-09-11,"65,12","68,25","1,0","112,13","1,0","36,290000000000006","103,41",2997660,111
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3116320,69
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3116320,76
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3116320,70
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3098486,103
2022-09-11,"7,56","10,68","1,0","20,13","1,0","7,109999999999999","16,67",2996958,91
2022-09-11,"21,59","24,709999999999997","1,0","51,13","1,0","15,64","39,230000000000004",3128145,75
2022-09-11,"10,95","14,079999999999998","1,0","16,13","1,0","3,34","16,29",3133645,48
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3116320,77
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,47
2022-09-11,"0,0","19,91","2,0","0,0","0,0","0,0","0,0",1027257,101
2022-09-11,"0,0","26,45","1,0","0,0","0,0","0,0","0,0",3109710,81
2022-09-11,"0,0","13,29","2,0","0,0","0,0","0,0","0,0",1027257,100
2022-09-11,"0,0","19,09","2,0","0,0","0,0","0,0","0,0",1027257,21
2022-09-11,"0,0","19,9","2,0","0,0","0,0","0,0","0,0",1027257,38
2022-09-11,"0,0","48,050000000000004","1,0","0,0","0,0","0,0","0,0",3137242,21
2022-09-11,"0,0","16,58","2,0","0,0","0,0","0,0","0,0",1027257,3
2022-09-11,"0,0","27,23","4,0","0,0","0,0","0,0","0,0",2988233,24
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3120445,94
2022-09-11,"0,0","13,280000000000001","2,0","0,0","0,0","0,0","0,0",1027257,46
2022-09-11,"0,0","48,300000000000004","1,0","0,0","0,0","0,0","0,0",3137242,112
2022-09-11,"0,0","18,25","2,0","0,0","0,0","0,0","0,0",1027257,61
2022-09-11,"0,0","19,89","2,0","0,0","0,0","0,0","0,0",1027257,41
2022-09-11,"0,0","19,9","2,0","0,0","0,0","0,0","0,0",1027257,31
2022-09-11,"0,0","18,25","2,0","0,0","0,0","0,0","0,0",1027257,33
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,107
2022-09-11,"0,0","19,9","2,0","0,0","0,0","0,0","0,0",1027257,67
2022-09-11,"0,0","16,6","2,0","0,0","0,0","0,0","0,0",1027257,36
2022-09-11,"0,0","16,6","2,0","0,0","0,0","0,0","0,0",1027257,91
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,13
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,64
2022-09-11,"0,0","16,59","2,0","0,0","0,0","0,0","0,0",1027257,29
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,53
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,12
2022-09-11,"0,0","19,07","2,0","0,0","0,0","0,0","0,0",1027257,99
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,15
2022-09-11,"0,0","19,9","2,0","0,0","0,0","0,0","0,0",1027257,116
2022-09-11,"0,0","18,25","2,0","0,0","0,0","0,0","0,0",1027257,19
2022-09-11,"0,0","16,61","2,0","0,0","0,0","0,0","0,0",1027257,52
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3136775,91
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,59
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,22
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,112
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,77
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,67
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3121730,40
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,63
2022-09-11,"0,0","51,86","1,0","0,0","0,0","0,0","0,0",3140059,56
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3121730,91
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3121730,2
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",3130269,31
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,95
2022-09-11,"0,0","19,919999999999998","2,0","0,0","0,0","0,0","0,0",1027257,28
2022-09-11,"0,0","26,43","1,0","0,0","0,0","0,0","0,0",3109710,72
2022-09-11,"0,0","26,43","1,0","0,0","0,0","0,0","0,0",3109710,10
2022-09-11,"0,0","26,43","1,0","0,0","0,0","0,0","0,0",3109710,13
2022-09-11,"0,0","2816,42","9,0","0,0","0,0","0,0","0,0",3117562,31
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",2917109,73
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",2917109,71
2022-09-11,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",2917109,49
2022-09-11,"0,0","26,07","4,0","0,0","0,0","0,0","0,0",2988233,75
