produto;descricao;departamento;nome_departamento
2966373;Bola Cravo Vinil Verde HomePet;11;brinquedos-cachorros
3110653;Bolinha com Pena Cat Toy LCM;6;brinquedos-gatos
3122490;Rótula Bovina Bona Pet Osso para Cachorro;1;petiscos-cachorros
3121712;Ração N&D Quinoa Cães Adultos Skin & Coat Peixe;10;racoes-cachorros
3138824;Bandana Melância Emporium Distripet;15;roupas-acessorios-cachorros
3137523;Ração Qualiday Gatos Adultos Carne;8;racoes-gatos
3120563;Enfeite Bota Hamster Decorado Trema;7;peixes
3137831;Kit Brinquedo Antiestresse Papagaios Calopsitas e Periquitos;4;passaros
2855533;Banho e Tosa Higi�nica - Pequeno;9;banho-tosa
3142338;Cookie Premier Gatos Adultos Original;14;petiscos-gatos
3103319;Cama Clássica Flicks Cáqui;12;casas-camas-cachorros
1032666;Cama Oval Flicks Verde;5;casas-camas-gatos
1032151;Gel Dental 1 Mês+ Mordisco de Carinho Soft Care Baby;3;higiene-limpeza-gatos
3144976;Suplemento Hepvet;13;medicamentos-cachorros
1027300;Educador Xixi Aqui Bellokão;2;higiene-limpeza-cachorros
3106514;Anti-Inflamatório Azium Cães e Gatos;16;medicamentos-gatos
1021806;Spray para Mau Hálito Dental Splash Soft Care;2;higiene-limpeza-cachorros
3109785;Poleiro Parafuso De Madeira Para Aves Toy For Bird;4;passaros
1033178;Copo Lava-Patas MyHug;3;higiene-limpeza-gatos
966041;Ração Royal Canin Gatos Filhotes;8;racoes-gatos
3078554;Stick OnebyOne Denta Bite Spin Pet;1;petiscos-cachorros
1029129;Toca Octa para Gato Pet Games;5;casas-camas-gatos
2853142;Ração Colorbits Granules Tetra;7;peixes
3129705;Vetmedin Boehringer Ingelheim 50 comprimidos;13;medicamentos-cachorros
3022385;Meia Sapato HomePet Rosa;15;roupas-acessorios-cachorros
854519;Caminha e Toca para Pet 3 em 1 Preto 02 Simba Dog;12;casas-camas-cachorros
3106537;Capstar 11,4 mg: para cães e gatos de até 11,4 kg;16;medicamentos-gatos
3147300;Petisco Whiskas Temptations Anti Bola de Pelo Gatos Adultos;14;petiscos-gatos
3132870;Ração Golden Power Training Filhotes Frango e Arroz;10;racoes-cachorros
3086294;Bola de Tênis Mini LCM;11;brinquedos-cachorros
963299;Bolinha Com Sino Animania Lilás;6;brinquedos-gatos
3139095;Banho - Pequeno;9;banho-tosa
1027219;Brinquedo Varetinha Rato Sisal Savana;6;brinquedos-gatos
1020925;Rede para Gato Flicks Cinza;5;casas-camas-gatos
2981471;Ração N&D Quinoa Cães Adultos Skin & Coat Pato;10;racoes-cachorros
3084451;Banho e Tosa M�quina - Pequeno;9;banho-tosa
3111038;Bola de Tênis Bicolor LCM;11;brinquedos-cachorros
3108781;Panettone com Flocos de Carne para Cães Pet Dog;1;petiscos-cachorros
3126844;Petisco Whiskas Temptations Salmão Gatos Adultos;14;petiscos-gatos
854523;Cama Pet Simples Turquesa;12;casas-camas-cachorros
3103399;Ninho Para Manon Mandarin Bragança 11x11x11cm;4;passaros
1031999;Rasqueadeira P;3;higiene-limpeza-gatos
3123933;Chemital para Cães Chemitec;13;medicamentos-cachorros
3131106;Shampoo Astor Peles Sensíveis Mundo Animal;2;higiene-limpeza-cachorros
2874040;Bandana Donuts Emporium Distripet Rosa;15;roupas-acessorios-cachorros
3113789;Ração Úmida Pet Delícia Gatos Frango com Mamão;8;racoes-gatos
3136362;Ração Gold Neon Alcon;7;peixes
3106515;Suplemento Aminoácido Organew;16;medicamentos-gatos
3141234;Ninho de Madeira Para Calopsita;4;passaros
1025461;Cama Eslovênia Bege Bichinho Chic;5;casas-camas-gatos
1030651;Areia para Gato Katbom Natural Granulado Higiênico;3;higiene-limpeza-gatos
3131679;Ração Royal Canin Medium Adult Cães Adultos;10;racoes-cachorros
3140600;Petisco Bifinho Joy Beef Carne;1;petiscos-cachorros
1028683;Saquinho Higiênico Coletor de Fezes;2;higiene-limpeza-cachorros
3144517;Roupa Para Cachorro Vestido Petisco Pax Estampado Preto;15;roupas-acessorios-cachorros
3118106;Colchonete Lavável para Cães e Gatos Mokoi Azul;12;casas-camas-cachorros
3090002;Coleira Antipulgas Scalibor Cães Pequenos e Médios;13;medicamentos-cachorros
3137564;Ração Qualiday Gatos Adultos Salmão;8;racoes-gatos
3131186;Bombinha Bomba Submersa Hbo300 300 L/H Aquário Fontes;7;peixes
1011323;Bolinhas para Gatos Meow & Me;6;brinquedos-gatos
3104577;Brinquedo Hamburguer Com Corda Animania;11;brinquedos-cachorros
3131168;Banho e Tosa Tesoura - Pequeno;9;banho-tosa
3119277;Petisco Bilisko Gato Carne;14;petiscos-gatos
3149221;Anizen Homeo Pet;16;medicamentos-gatos
3149206;Ceto-C 20 com 20 comprimidos;16;medicamentos-gatos
3133085;Ração para Peixes de Fundo Poytara;7;peixes
3126763;Brinquedo Látex Latoy Disney Dory;11;brinquedos-cachorros
1022786;Shampoo Forest Balance Maracujá Megamazon Pet Society;2;higiene-limpeza-cachorros
1025311;Cama New Canadá Flicks Rosa;5;casas-camas-gatos
1034044;Bandeja Higiênica Quadrada FourPlastic Azul;3;higiene-limpeza-gatos
3139872;Ração Úmida N&D Natural Atum e Salmão;8;racoes-gatos
3127092;Osso Original Kadi;1;petiscos-cachorros
1024499;Brinquedo Dispenser para Ração Cat Ball Pet Games;6;brinquedos-gatos
3132263;Escova��o de Dentes;9;banho-tosa
3137812;Thuya Avic. Indubras;4;passaros
3107083;Bandana Donuts Emporium Distripet Verde;15;roupas-acessorios-cachorros
2988710;Petisco DentaLife Gatos Adultos 40g;14;petiscos-gatos
3131541;Ração Equilíbrio Raças Específicas Shih Tzu Filhotes Frango;10;racoes-cachorros
3128830;Auritop Gel Otológico Ourofino;13;medicamentos-cachorros
3122472;Cama Divã São Pet Marrom;12;casas-camas-cachorros
3141337;Petisco Bifinho Joy Beef Churrasco;1;petiscos-cachorros
1029557;Granulado Sanitário para Gatos Pipicat Multi-Cat;3;higiene-limpeza-gatos
3110806;Combo Viveiro Para Pássaros Pequeno De Parede Completo Azul;4;passaros
3126144;Blusa Tricô com Manga Flicks Salmão;15;roupas-acessorios-cachorros
3106565;Antibacteriano Ibatrim para Cães e Gatos Ibasa;16;medicamentos-gatos
3144151;Petisco Kelcat Snack Bifitos Carne;14;petiscos-gatos
3134927;Ração Farmina N&D Prime Gatos Adultos Cordeiro e Blueberry;8;racoes-gatos
2988233;Brinquedo Osso Rex Grande Animania Verde;11;brinquedos-cachorros
3130198;Cobertor Sideral Azul;12;casas-camas-cachorros
3110162;Ração Bettamix Alcon;7;peixes
3110763;Artrin Condroprotetor Brouwer;13;medicamentos-cachorros
2990485;Banho e Tosa Higi�nica - M�dio;9;banho-tosa
